"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","1e:5c:24:b9:d8:b2","Broadcast","ARP","60","Who has 172.17.56.1? Tell 172.17.60.28"
"2","0.000000","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.85.134? Tell 172.16.80.1"
"3","0.000000","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.80.64? Tell 172.16.80.1"
"4","0.000000","172.16.83.88","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"5","0.000000","172.16.80.206","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"6","0.000000","Apple_dd:61:74","Broadcast","ARP","60","ARP Announcement for 172.16.83.29"
"7","0.000000","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.86.185? Tell 172.16.80.1"
"8","0.000000","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.86.50? Tell 172.16.80.1"
"9","0.000000","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.82.5? Tell 172.16.80.1"
"10","0.000000","CloudNet_81:92:07","Broadcast","ARP","60","Who has 169.254.169.254? Tell 172.16.86.170"
"11","0.000000","172.16.84.81","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"12","0.000000","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.80.227? Tell 172.16.80.1"
"13","0.000000","CloudNet_4c:9f:8f","Broadcast","ARP","60","Who has 172.16.84.53? Tell 172.16.81.187"
"14","0.204408","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.80.183? Tell 172.16.80.1"
"15","0.204408","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.87.65? Tell 172.16.80.1"
"16","0.204408","IntelCor_87:60:cc","Broadcast","ARP","42","Who has 172.16.81.79? Tell 172.16.87.243"
"17","0.204408","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.83.239? Tell 172.16.80.1"
"18","0.204408","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.87.180? Tell 172.16.80.1"
"19","0.204408","172.16.82.136","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"20","0.204408","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.85.6? Tell 172.16.80.1"
"21","0.204408","IntelCor_cb:ed:00","Broadcast","ARP","60","Who has 169.254.255.255? Tell 172.16.80.160"
"22","0.204408","172.16.80.160","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"23","0.204408","Apple_dd:61:74","Broadcast","ARP","60","ARP Announcement for 172.16.83.29"
"24","0.408782","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.87.227? Tell 172.16.80.1"
"25","0.408782","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.83.218? Tell 172.16.80.1"
"26","0.408782","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.85.198? Tell 172.16.80.1"
"27","0.408782","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.86.139? Tell 172.16.80.1"
"28","0.408782","IntelCor_68:36:bb","Broadcast","ARP","60","Who has 172.16.82.199? Tell 172.16.80.163"
"29","0.408782","Chongqin_8c:dc:0b","Broadcast","ARP","60","Who has 169.254.169.254? Tell 172.16.86.212"
"30","0.408782","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.87.128? Tell 172.16.80.1"
"31","0.614210","172.16.83.200","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"32","0.614210","172.16.86.168","172.16.87.255","UDP","305","54915  >  54915 Len=263"
"33","0.614210","IntelCor_b4:b1:dd","Broadcast","ARP","60","Who has 172.16.87.99? Tell 172.16.80.1"
"34","0.614210","Apple_dd:61:74","Broadcast","ARP","60","ARP Announcement for 172.16.83.29"
"35","0.614210","Chongqin_c4:42:07","Broadcast","ARP","60","Who has 172.16.80.184? Tell 172.16.82.31"
"36","0.614210","Chongqin_c4:42:07","Broadcast","ARP","60","Who has 172.16.81.161? Tell 172.16.82.31"
"37","0.614210","Apple_dd:61:74","Broadcast","ARP","60","Who has 172.16.80.1? Tell 172.16.83.29"
